代號,名稱,按盤價,成交金額,市值,市盈率,股息率
574,百信國際,0.0410,4340.0,90710000.0,,
575,勵晶太平洋,0.6500,7620.0,189680000.0,,
576,浙江滬杭甬,7.290,79780000.0,14750000000.0,7.34,6.07
579,京能清潔能源,2.260,15140000.0,6390000000.0,5.64,8.92
580,賽晶科技,1.760,10670000.0,2810000000.0,18.14,1.14
581,中國東方集團,1.260,2069999.9999999998,4690000000.0,18.61,5.56
582,神話世界,0.067,102080.0,244640000.0,,
583,長城環亞控股,0.202,2920.0,316680000.0,,
585,意力國際,3.150,4240000.0,2610000000.0,,
586,海螺創業,12.330,88480000.0,22090000000.0,8.32,3.24
587,海螺環保,0.4700,195440.0,858570000.0,,
588,北京北辰實業股份,0.810,11830000.0,572680000.0,,
590,六福集團,23.020,25720000.0,13510000000.0,12.29,4.78
591,中國高精密,0.237,1000000.0,245880000.0,13.02,
595,AV CONCEPT HOLD,1.680,33870000.0,1520000000.0,28.43,0.60
596,浪潮數字企業,2.310,29890000.0,2820000000.0,10.01,1.73
598,中國外運,5.250,47410000.0,10580000000.0,8.37,6.37
599,怡邦行控股,0.128,48830.0,92010000.0,,
600,愛芯元智,23.320,25630000.0,13730000000.0,,
601,稀鎂科技,0.0710,88710.0,42070000.0,,
602,佳華百貨控股,0.049,12160.0,50830000.0,,
603,中油燃氣,0.159,467180.0,896250000.0,10.26,
604,深圳控股,0.8500,4250000.0,7560000000.0,,
605,中國金融投資管理,0.820,13180.0,171610000.0,2.34,
606,中駿商管,0.290,150030.0,561150000.0,8.66,
608,達利國際,1.230,34240.0,375900000.0,5.39,5.69
609,天德化工,1.280,1270000.0,1120000000.0,16.24,2.34
610,WAI KEE HOLD,0.9000,381360.0,713810000.0,,
611,中國核能科技,0.5000,122240.0,926010000.0,4.39,
613,梧桐國際,1.9900,282280.0,2280000000.0,10.68,
616,財富鏈,0.247,730290.0,461220000.0,,
617,百利保控股,0.233,298020.0,259690000.0,,
618,北大資源,0.295,151480.0,807530000.0,,
619,南華金融,0.310,1750.0,93390000.0,,
620,大唐西市,0.255,166570.0,204260000.0,,
621,壇金礦業,0.450,1010000.0,816810000.0,,
622,威華達控股,1.980,17260000.0,13740000000.0,68.28,
623,中視金橋,2.0500,51190.0,959040000.0,10.68,5.37
626,大眾金融控股,1.470,79440.0,1610000000.0,20.25,4.76
627,共生智築,0.445,20660.0,632190000.0,,
