代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0418,方正控股有限公司,N/A,0,0,N/A,N/A
0419,弘毅文化集團,N/A,0,0,N/A,N/A
0420,福田實業（集團）有限公司,N/A,0,0,N/A,N/A
0422,越南製造加工出口(控股)有限公司 ,N/A,0,0,N/A,N/A
0423,香港經濟日報集團有限公司,N/A,0,0,N/A,N/A
0425,敏實集團有限公司,N/A,0,0,N/A,N/A
0426,萬華媒體集團有限公司,N/A,0,0,N/A,N/A
0428,中國天弓控股有限公司,N/A,0,0,N/A,N/A
0430,東方興業控股有限公司,N/A,0,0,N/A,N/A
0431,大中華金融控股有限公司,N/A,0,0,N/A,N/A
0432,盈科大衍地產發展有限公司,N/A,0,0,N/A,N/A
0433,北方礦業股份有限公司,N/A,0,0,N/A,N/A
0434,博雅互動國際有限公司,N/A,0,0,N/A,N/A
0436,新宇環保集團有限公司,N/A,0,0,N/A,N/A
0438,彩虹集團新能源股份有限公司,N/A,0,0,N/A,N/A
0439,瀚源控股有限公司,N/A,0,0,N/A,N/A
0440,大新金融集團有限公司,N/A,0,0,N/A,N/A
0442,域能控股有限公司,N/A,0,0,N/A,N/A
0444,Sincere Watch (Hong Kong) Limited,N/A,0,0,N/A,N/A
0450,鴻興印刷集團有限公司,N/A,0,0,N/A,N/A
0451,協鑫新能源控股有限公司,N/A,0,0,N/A,N/A
0455,天大藥業有限公司,N/A,0,0,N/A,N/A
0456,新城市建設發展集團有限公司,N/A,0,0,N/A,N/A
0458,Tristate Holdings Limited,N/A,0,0,N/A,N/A
0459,鋑聯控股有限公司,N/A,0,0,N/A,N/A
0460,四環醫藥控股集團有限公司,N/A,0,0,N/A,N/A
0464,中國智能科技有限公司,N/A,0,0,N/A,N/A
0465,富通科技發展控股有限公司,N/A,0,0,N/A,N/A
0467,聯合能源集團有限公司,N/A,0,0,N/A,N/A
0468,紛美包裝有限公司,N/A,0,0,N/A,N/A
0471,中播數據有限公司,N/A,0,0,N/A,N/A
0472,新絲路文旅有限公司,N/A,0,0,N/A,N/A
0474,信銘生命科技集團有限公司,N/A,0,0,N/A,N/A
0475,中發展控股有限公司,N/A,0,0,N/A,N/A
0476,科軒動力(控股)有限公司,N/A,0,0,N/A,N/A
0480,香港興業國際集團有限公司,N/A,0,0,N/A,N/A
0482,聖馬丁國際控股有限公司,N/A,0,0,N/A,N/A
0483,包浩斯國際(控股)有限公司,N/A,0,0,N/A,N/A
0484,雲遊控股有限公司,N/A,0,0,N/A,N/A
0485,中國華星集團有限公司,N/A,0,0,N/A,N/A
0486,俄鋁,N/A,0,0,N/A,N/A
0487,實德環球有限公司,N/A,0,0,N/A,N/A
0488,麗新發展有限公司,N/A,0,0,N/A,N/A
0489,東風汽車集團股份有限公司,N/A,0,0,N/A,N/A
0491,英皇文化產業集團有限公司,N/A,0,0,N/A,N/A
0493,國美零售控股有限公司,N/A,0,0,N/A,N/A
0495,Paladin Limited,N/A,0,0,N/A,N/A
0496,卡森國際控股有限公司,N/A,0,0,N/A,N/A
0497,資本策略地產有限公司,N/A,0,0,N/A,N/A
0498,藍河控股有限公司,N/A,0,0,N/A,N/A
0499,青島控股國際有限公司,N/A,0,0,N/A,N/A
0500,先豐服務集團有限公司,N/A,0,0,N/A,N/A
0501,豪威集成電路（集團）股份有限公司,N/A,0,0,N/A,N/A
0505,興業合金材料集團有限公司,N/A,0,0,N/A,N/A
0506,中國食品有限公司,N/A,0,0,N/A,N/A
0508,鼎億集團投資有限公司,N/A,0,0,N/A,N/A
0509,世紀陽光集團控股有限公司  ,N/A,0,0,N/A,N/A
0510,時富金融服務集團有限公司,N/A,0,0,N/A,N/A
0511,電視廣播有限公司,N/A,0,0,N/A,N/A
0512,遠大醫藥集團有限公司,N/A,0,0,N/A,N/A
0513,恒和珠寶集團有限公司,N/A,0,0,N/A,N/A
0515,中華銀科技控股有限公司,N/A,0,0,N/A,N/A
