volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.14,0.55,3,4,0.97,0.6108580743795167,79
0.14,0.55,3,4,0.98,0.6108580743795167,79
0.16,0.5,2,5,0.98,0.6104539079225406,79
0.16,0.5,2,5,0.97,0.6104539079225406,79
0.16,0.5,2,5,0.99,0.6104539079225406,79
0.1,0.6,3,3,0.97,0.6101811562677661,79
0.1,0.6,3,3,0.99,0.6101811562677661,79
0.1,0.6,3,3,0.98,0.6101811562677661,79
0.18,0.65,2,5,0.98,0.6096644042383933,79
0.18,0.65,2,5,0.97,0.6096644042383933,79
0.18,0.65,2,5,0.99,0.6096644042383933,79
0.16,0.55,2,5,0.98,0.608228972610462,79
0.16,0.55,2,5,0.97,0.608228972610462,79
0.16,0.55,2,5,0.99,0.608228972610462,79
0.14,0.7,3,4,0.99,0.6080156747971078,79
0.14,0.7,3,4,0.98,0.6080156747971078,79
0.14,0.7,3,4,0.97,0.6080156747971078,79
0.14,0.5,3,4,0.98,0.6076120077781846,79
0.14,0.5,3,4,0.99,0.6076120077781846,79
0.14,0.5,3,4,0.97,0.6076120077781846,79
0.1,0.55,3,3,0.98,0.6070750509647456,79
0.1,0.55,3,3,0.99,0.6070750509647456,79
0.1,0.55,3,3,0.97,0.6070750509647456,79
0.18,0.7,2,5,0.98,0.6067813907331768,79
0.18,0.7,2,5,0.97,0.6067813907331768,79
0.18,0.7,2,5,0.99,0.6067813907331768,79
0.12,0.7,1,5,0.99,0.6064769368116761,79
0.12,0.7,1,5,0.97,0.6064769368116761,79
0.12,0.7,1,5,0.98,0.6064769368116761,79
0.16,0.6,2,5,0.97,0.605548264088198,79
0.16,0.6,2,5,0.98,0.605548264088198,79
0.16,0.6,2,5,0.99,0.605548264088198,79
0.12,0.65,1,5,0.97,0.6039895954029534,79
0.12,0.65,1,5,0.98,0.6039895954029534,79
0.12,0.65,1,5,0.99,0.6039895954029534,79
0.1,0.5,3,3,0.98,0.6037339401205853,79
0.1,0.5,3,3,0.97,0.6037339401205853,79
0.1,0.5,3,3,0.99,0.6037339401205853,79
0.1,0.7,2,4,0.99,0.6036920283892427,79
0.1,0.7,2,4,0.98,0.6036920283892427,79
0.1,0.7,2,4,0.97,0.6036920283892427,79
0.16,0.65,2,5,0.98,0.6027497232300271,79
0.16,0.65,2,5,0.97,0.6027497232300271,79
0.16,0.65,2,5,0.99,0.6027497232300271,79
0.12,0.6,1,5,0.97,0.6012618195251672,79
0.12,0.6,1,5,0.98,0.6012618195251672,79
0.12,0.6,1,5,0.99,0.6012618195251672,79
0.1,0.65,2,4,0.98,0.6011592192874938,79
0.1,0.65,2,4,0.97,0.6011592192874938,79
0.1,0.65,2,4,0.99,0.6011592192874938,79
0.12,0.7,3,4,0.99,0.6005727252067363,79
0.12,0.7,3,4,0.97,0.6005727252067363,79
0.12,0.7,3,4,0.98,0.6005727252067363,79
0.16,0.7,2,5,0.99,0.599831443548234,79
0.16,0.7,2,5,0.97,0.599831443548234,79
0.16,0.7,2,5,0.98,0.599831443548234,79
0.14,0.6,2,5,0.97,0.5986714500857393,79
0.14,0.6,2,5,0.98,0.5986714500857393,79
0.14,0.6,2,5,0.99,0.5986714500857393,79
0.1,0.6,2,4,0.99,0.5983883997336007,79
0.1,0.6,2,4,0.98,0.5983883997336007,79
0.1,0.6,2,4,0.97,0.5983883997336007,79
0.12,0.55,1,5,0.99,0.5982968988175398,79
0.12,0.55,1,5,0.97,0.5982968988175398,79
0.12,0.55,1,5,0.98,0.5982968988175398,79
0.12,0.65,3,4,0.97,0.5981300765883226,79
0.12,0.65,3,4,0.98,0.5981300765883226,79
0.12,0.65,3,4,0.99,0.5981300765883226,79
0.18,0.5,1,6,0.97,0.5974247119135881,79
0.18,0.5,1,6,0.98,0.5974247119135881,79
