sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
8279.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
8299.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
8603.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
9638.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9676.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9690.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
9858.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9879.HK,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
9898.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9911.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9956.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
9996.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
,85.0,31.0,50.0,5.0,36.0,50.0,112.0,87.0,456.0,45.39
