股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
01037.HK,雲智匯科技,070205,0.630,-0.020,-3.077%,1.83百萬,1.13百萬,無盈利,0.98,0.00%,4.44億,01037.HK,2.87,2.41,-2.71%,-3.86%,14.28%,-2.48%,N/A,1.29%,2023/12,01037.HK,7.43億,-20.000%,-9.96百萬,-1.340%,-1.85千萬,-2.483%,-0.026,N/A,2023/12,1037.HK,444000000.00000006
01147.HK,伊登軟件,070205,0.120,-0.002,-1.639%,4.71百萬,56.63萬,28.57,1.15,1.50%,2.45億,01147.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01147.HK,8.94億,16.000%,5.77百萬,0.646%,6.73百萬,0.753%,0.003,N/A,2023/12,1147.HK,245000000.00000003
01206.HK,同方泰德,070205,0.385,-0.005,-1.282%,0.00,0.00,無盈利,0.11,0.00%,3.01億,01206.HK,1.72,1.23,-1.82%,-3.51%,9.21%,-5.49%,N/A,10.01%,2023/12,01206.HK,20.15億,2.000%,-10.00千萬,-4.963%,-1.11億,-5.493%,-0.142,N/A,2023/12,1206.HK,301000000.0
01274.HK,知行科技,070205,7.490,+0.010,+0.134%,26.61萬,2.01百萬,無盈利,1.80,0.00%,19.28億,01274.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01274.HK,13.33億,N/A,-2.16億,-16.186%,-2.14億,-16.041%,-1.041,N/A,2023/12,1274.HK,1928000000.0
01410.HK,安領國際,070205,0.380,-0.005,-1.299%,10.00萬,3.80萬,15.57,2.05,0.00%,3.82億,01410.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,01410.HK,6.25億,8.000%,3.10千萬,4.952%,2.97千萬,4.751%,0.029,N/A,2024/03,1410.HK,382000000.0
01460.HK,揚科集團,070205,0.310,+0.005,+1.639%,3.20萬,9.76千,10.58,0.48,3.39%,2.72億,01460.HK,1.86,1.85,1.75%,3.10%,19.45%,1.55%,52.63%,11.63%,2024/03,01460.HK,10.77億,22.000%,4.33千萬,4.025%,1.67千萬,1.550%,0.019,58.333%,2024/03,1460.HK,272000000.0
01522.HK,京投交通科技,070205,0.350,0.000,0.000%,40.00萬,13.85萬,4.38,0.26,6.86%,7.34億,01522.HK,1.87,1.64,3.87%,6.44%,36.10%,10.65%,30.12%,13.68%,2023/12,01522.HK,16.37億,N/A,1.85億,11.313%,1.74億,10.647%,0.083,-2.353%,2023/12,1522.HK,734000000.0
01613.HK,協同通信,070205,0.222,-0.003,-1.333%,0.00,0.00,無盈利,0.92,0.00%,9.96千萬,01613.HK,1.29,0.86,-8.00%,-15.76%,39.56%,-28.51%,N/A,45.23%,2024/03,01613.HK,6.26千萬,3.000%,-1.19千萬,-18.988%,-1.78千萬,-28.507%,-0.060,62.500%,2024/03,1613.HK,99600000.00000001
01686.HK,新意網集團,070205,5.400,-0.210,-3.743%,3.59百萬,1.95千萬,22.42,2.21,2.22%,127.48億,01686.HK,0.63,0.63,3.77%,17.73%,52.90%,33.93%,50.11%,324.54%,2024/06,01686.HK,26.74億,13.000%,12.79億,47.845%,9.07億,33.933%,0.224,0.224%,2024/06,1686.HK,12748000000.0
01708.HK,三寶科技,070205,0.265,0.000,0.000%,0.00,0.00,無盈利,0.16,0.00%,6.08千萬,01708.HK,1.90,1.86,0.07%,0.12%,17.72%,0.40%,N/A,42.22%,2023/12,01708.HK,5.41億,-6.000%,1.03千萬,1.898%,2.19百萬,0.404%,0.003,N/A,2023/12,1708.HK,60800000.0
