sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
1117.HK,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,25.0
1121.HK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
1126.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,25.0
1133.HK,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,71.43
1138.HK,3.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,10.0,60.0
1140.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,33.33
1142.HK,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,40.0
1157.HK,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0
1164.HK,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,8.0,50.0
1167.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
1168.HK,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,50.0
1184.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
1186.HK,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,8.0,37.5
1196.HK,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,8.0,50.0
1199.HK,2.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,10.0,40.0
1205.HK,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,16.67
1223.HK,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,7.0,42.86
1224.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0
1234.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
1250.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
1263.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
1268.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1277.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1280.HK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,66.67
1286.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1302.HK,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.0
1310.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0
1313.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1316.HK,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,28.57
1330.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,33.33
1345.HK,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,50.0
1358.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
1359.HK,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,50.0
1361.HK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
1368.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.33
1375.HK,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,50.0
1385.HK,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,57.14
1415.HK,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,66.67
1428.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1432.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
